      1 -9.63766280e-01 -9.63766280e-01
      2 -9.56016259e-01 -9.59891270e-01
      3 -9.57751256e-01 -9.59177932e-01
      4 -9.63822185e-01 -9.60338995e-01
      5 -9.61200979e-01 -9.60511392e-01
      6 -9.56309014e-01 -9.59810996e-01
      7 -9.55083437e-01 -9.59135630e-01
      8 -9.55648520e-01 -9.58699741e-01
      9 -9.60218400e-01 -9.58868481e-01
     10 -9.59781815e-01 -9.58959815e-01
     11 -9.66112078e-01 -9.59610020e-01
     12 -9.63099405e-01 -9.59900802e-01
     13 -9.58775915e-01 -9.59814273e-01
     14 -9.53573171e-01 -9.59368480e-01
     15 -9.59446477e-01 -9.59373679e-01
     16 -9.58997637e-01 -9.59350177e-01
     17 -9.57425102e-01 -9.59236937e-01
     18 -9.60690597e-01 -9.59317696e-01
     19 -9.59922383e-01 -9.59349522e-01
     20 -9.59009949e-01 -9.59332543e-01
     21 -9.58402179e-01 -9.59288240e-01
     22 -9.62936208e-01 -9.59454057e-01
     23 -9.66536993e-01 -9.59762010e-01
     24 -9.64261120e-01 -9.59949473e-01
     25 -9.63240411e-01 -9.60081111e-01
     26 -9.63043730e-01 -9.60195058e-01
     27 -9.63176987e-01 -9.60305500e-01
     28 -9.55342286e-01 -9.60128242e-01
     29 -9.59251284e-01 -9.60098002e-01
     30 -9.61422089e-01 -9.60142138e-01
     31 -9.56020006e-01 -9.60009166e-01
     32 -9.57924203e-01 -9.59944011e-01
     33 -9.58544182e-01 -9.59901592e-01
     34 -9.67804923e-01 -9.60134043e-01
     35 -9.61088393e-01 -9.60161310e-01
     36 -9.59654561e-01 -9.60147234e-01
     37 -9.59609910e-01 -9.60132712e-01
     38 -9.60905487e-01 -9.60153048e-01
     39 -9.54480686e-01 -9.60007603e-01
     40 -9.55430685e-01 -9.59893180e-01
     41 -9.64099813e-01 -9.59995780e-01
     42 -9.66541475e-01 -9.60151630e-01
     43 -9.63744196e-01 -9.60235178e-01
     44 -9.60823862e-01 -9.60248557e-01
     45 -9.58766716e-01 -9.60215628e-01
     46 -9.60427754e-01 -9.60220239e-01
     47 -9.63193782e-01 -9.60283506e-01
     48 -9.59310438e-01 -9.60263234e-01
     49 -9.62049413e-01 -9.60299686e-01
     50 -9.56802450e-01 -9.60229742e-01
     51 -9.55048875e-01 -9.60128156e-01
     52 -9.66483181e-01 -9.60250368e-01
     53 -9.61018370e-01 -9.60264859e-01
     54 -9.59923315e-01 -9.60258534e-01
